Site_ID,Latitude_Degrees,Longitude_Degrees,Ocean_Name,Ecoregion_Name,Exposure,Turbidity,Cyclone_Frequency,Date_Month,Date_Year,Percent_Bleaching,Temperature_Mean,Windspeed,SSTA,SSTA_DHW,TSA,TSA_DHWMean,Date,Bleaching_Severity_Int,Thermal_Stress_Index,Bleaching_Impact,Wind_Mitigation,Bleaching_Duration_weeks
29,-23.4439,151.9286,Pacific,Southern Great Barrier Reef,Sheltered,0.0731,51.57,2,1998,75.0,297.35,5.0,5.48,31.79,5.24,10.05,15-02-1998,2.0,0.6911340311986871,0.8764536124794748,0.6,8
63,-18.7502,147.2688,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0458,44.2,2,1998,75.0,299.18,2.0,2.05,4.43,2,0.44,15-02-1998,2.0,0.4775021458426636,0.7910008583370655,0.9,11
65,-17.2661,146.3636,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0755,46.35,2,1998,75.0,299.52,3.0,0.85,2.49,0.73,0.4,15-02-1998,2.0,0.43626595387371137,0.7745063815494846,0.7999999999999999,10
81,-20.193,150.082,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0743,48.0,3,2002,75.0,298.52,8.0,0.46,3.14,-0.02,0.24,15-03-2002,2.0,0.3936701373339291,0.7574680549335716,0.29999999999999993,4
85,-20.1559,149.0719,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0627,46.13,3,2002,75.0,298.55,7.0,0.41,4.91,-0.09,0.37,15-03-2002,2.0,0.4029880392595911,0.7611952157038364,0.3999999999999999,5
95,-18.6587,146.4852,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0832,46.29,2,1998,75.0,299.23,2.0,1.28,6.15,1.22,0.57,15-02-1998,2.0,0.4623651851022551,0.784946074040902,0.9,11
95,-18.6587,146.4852,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0832,46.29,5,1998,75.0,299.23,4.0,0.81,6.8,-3.49,0.57,15-05-1998,2.0,0.4498514703687128,0.7799405881474851,0.7,9
121,-19.15,146.85,Pacific,Central and northern Great Barrier Reef,Sheltered,0.1919,43.39,4,1998,75.0,299.11,4.0,0.92,8.86,-1.76,0.61,15-04-1998,2.0,0.4614082325720266,0.7845632930288107,0.7,9
436,-20.1069,148.7145,Pacific,Central and northern Great Barrier Reef,Sheltered,0.0783,46.8,3,2002,75.0,298.55,6.0,0.41,9.9,-0.26,0.44,15-03-2002,2.0,0.43134031198686384,0.7725361247947455,0.4999999999999999,6
437,-20.1007,148.3156,Pacific,Central and northern Great Barrier Reef,Sheltered,0.1601,44.25,3,2002,75.0,298.59,5.0,0.03,2.05,-0.8,0.68,15-03-2002,2.0,0.3749482198835644,0.7499792879534257,0.6,7
